Item,KrogerProductId
Bakery Fresh 8-Inch Apple Pie,0001111027011
Bakery Fresh Apple Fritter Donut Bites,0001111069266
Bakery Fresh Chocolate Chip Cookies,0001111062627
Bakery Fresh Pumpkin Pie,0001111027021
Bakery Fresh Cookies Made With M&M's® Chocolate Candies,0001111062626
Bakery Fresh Peanut Butter Cookies,0001111062629
Bakery Fresh Banana Nut Sliced Loaf Cake,0001111065032
Bakery Fresh Lemon Sliced Loaf Cake,0001111065031
Bakery Fresh Oatmeal Raisin Cookies,0001111062628
Bakery Fresh Sugar Cookies,0001111062630
Bakery Fresh Half Lemon Pudding Cake,0001111063425
Bakery Fresh Vanilla Celebration Cake,0001111001532
Bakery Fresh Vanilla Pudding Cake,0001111018572
Bakery Fresh Mini Peanut Butter Fudge Cookies,0001111062100
Kroger® Baking Powder,0001111090765
ARM & HAMMER Pure Baking Soda,0003320001110
Clabber Girl® Double Acting Baking Powder,0001990000320
Fleischmann's® Active Dry Yeast,0004010000721
Rumford Baking Powder - Gluten Free,0004161700227
Bob's Red Mill Aluminum Free Baking Powder,0003997803392
ARM & HAMMER™ Baking Soda Box,0003320001140
Maizena® Corn Starch,0004800171127
Fleischmann's® Bread Machine Instant Yeast,0004010001787
YORK Dark Chocolate and Peppermint Flavored Baking Chips Bag,0003400014467
Smart Way™ Granulated Sugar,0001111011888
Nestle Toll House Butterscotch Morsels,0002800021730
"Martha White Blueberry Cheesecake Muffin Mix, 7 Oz Bag",0001330000031
Corn Muffin Mix,0007248600220
"Martha White Chocolate Chip Muffin Mix, 7.4 Oz Bag",0001330055105
Betty Crocker™ Favorites Super Moist Yellow Cake Mix,0001600020711
Kroger® Light Brown Sugar,0001111085585
Nestle Toll House Semi-Sweet Chocolate Mini Morsels Chocolate Chips,0002800098612
Kroger® 100% Pure Vegetable Oil,0001111085605
Dr Pepper,0007800008216
Coca-Cola,0004900002890
Simple Truth Organic® Zero Sugar Pineapple Pink Guava Kombucha,0001111013932
General Mills Cinnamon Toast Crunch™ Cereal,0001600012254
General Mills Honey Nut Cheerios™ Cereal,0001600012479
General Mills Cinnamon Toast Crunch™ Giant Size Cereal,0001600012685
General Mills® Gluten Free Lucky Charms™ with Marshmallows Cereal,0001600012399
Cap'n Crunch's® Crunch Berries® Cereal,0003000057322
Fruity Pebbles Cereal,0088491212971
General Mills Honey Nut Cheerios™ Giant Size Cereal,0001600012495
General Mills® REESE'S™ PUFFS Chocolatey Peanut Butter Cereal,0001600012222
Kroger® Bite Size Frosted Shredded Wheat Cereal,0001111086705
"Post Fruity PEBBLES Breakfast Cereal, Gluten-Free, Family Size",0088491212974
Life Cinnamon Multigrain Cereal,0003000006322
Honey Bunches of Oats Honey Roasted Cereal,0088491235915
General Mills® Lucky Charms™ with Marshmallows Giant Size Cereal,0001600012183
Post Honeycomb Breakfast Cereal,0088491248176
Malt-O-Meal Cocoa Dyno Bites Chocolate Cereal Bag,0004240026521
Cocoa Pebbles Chocolate Cereal,0088491212951
Honey Bunches of Oats with Almonds Cereal,0088491235916
Malt-O-Meal Fruity Dyno Bites Super Size Cereal Bag,0004240038887
General Mills Reese's™ PUFFS Chocolatey Peanut Butter Cereal Giant Size,0001600012125
General Mills Cocoa Puffs™ Cereal,0001600015128
Cascadian Farm™ Organic Cinnamon Crunch Cereal,0002190845556
Malt-O-Meal Cinnamon Toasters Super Size Cereal Bag,0004240093978
Malt-O-Meal Golden Puffs Cereal Bag,0004240040758
General Mills® Cookie Crisp™ Cereal,0001600015163
Malt-O-Meal Berry Colossal Crunch Cereal Bag,0004240026514
Kroger® Vitamin D Whole Milk Gallon,0001111040101
Kroger® 2% Reduced Fat Milk Gallon,0001111041700
Kroger® Original Sour Cream,0001111046070
Kroger® Vitamin D Whole Milk Half Gallon,0001111040601
Kroger® Grade A Large White Eggs,0001111060903
Kroger® 2% Reduced Fat Milk Half Gallon,0001111041600
Kroger® 4% Milkfat Small Curd Cottage Cheese,0001111044760
Simple Truth® Plant Based Non Dairy Unsweetened Almondmilk Half Gallon,0001111013267
Almond Breeze Dairy Free Unsweetened Original Almond Milk Half Gallon,0004157005670
Almond Breeze Dairy Free Unsweetened Vanilla Almond Milk Half Gallon,0004157005618
Silk Unsweet Dairy Free Vegan Almond Milk Half Gallon,0002529300149
Simple Truth® Dairy Free Unsweetened Vanilla Almond Milk Half Gallon,0001111013268
Silk Unsweet Vanilla Dairy Free Vegan Almond Milk,0002529300136
Planet Oat Dairy Free Original Oat Milk 52 fl oz,0004410015618
Silk Organic Unsweet Dairy Free Vegan Soy Milk,0002529360023
Silk Original Dairy Free Vegan Almond Milk Half Gallon,0002529300098
Oatly Dairy Free Original Oatmilk,0019064664101
Silk Vanilla Shelf Stable Dairy Free Almond Milk,0002529300099
Almond Breeze Dairy Free Vanilla Almond Milk Half Gallon,0004157005621
Almond Breeze® Dairy Free Original Almond Milk,0004157005617
Fresh Strawberries – 1 LB Clamshell,0003338320027
Fresh Bunch of Bananas – 5-7 Bananas,0000000004011
Fresh Medium Ripe Avocado,0000000004046
Fresh Yellow Nectarine,0000000004036
Fresh Ripe Whole Pineapple,0000000004430
Fresh California Seedless Green Grapes,0000000004022
Fresh Red Raspberries - 6 OZ Clamshell,0003338321000
Seedless Mandarin Clementine Oranges in 3lb Bag,0003338314616
Fresh California Seedless Red Grapes,0000000004023
Large Mangos,0000000004959
Fresh Blackberries - 6 OZ Clamshell,0003338324000
Fresh California Yellow Peach – Each,0000000004038
Cantaloupe,0000000004050
Zespri™ Sungold™ Fresh Kiwi Fruit,0081884902001
Fresh Strawberries - 2 LB Clamshell,0003338320030
Fresh Organic Strawberries - 1 LB clamshell,0003338320038
Simple Truth Organic® Cherry Berry Blend Frozen Fruit,0001111001791
Simple Truth Organic® Mixed Fruit Medley Frozen Fruit,0001111084880
Simple Truth Organic® Blender Free Green Fruit Smoothie Cubes,0001111015029
Seedless Whole Watermelon,0000000004032
Fresh Bunch of Organic Bananas – 5-7 Bananas,0000000094011
Private Selection® Fresh Colossal Blueberries,0001111003931
Fresh Red Plum - Each,0000000004042
Fresh Blueberries - 18 OZ - Clamshell,0003338322241
Simple Truth® Protein Black Pepper Lentils Brown Rice and Ancient Grains Whole Grain Blend,0001111002281
Simple Truth Organic™ 90 Second 100% Whole Grain Brown Rice,0001111090136
Kroger® Low Fat Ancient Grains Farro,0001111086720
Simple Truth® Protein Garlic Brown Rice and Quinoa with Chia Seeds,0001111002324
Kroger® Long Grain Brown Rice,0001111089711
Kroger® 90 Second Microwavable Long Grain & Wild Rice,0001111010588
SunChips® Garden Salsa Whole Grain Chips,0002840014740
Simple Truth Organic® Long Grain Brown Rice,0001111086334
Milton's™ Craft Bakers Original Multi-Grain Crackers,0060654193370
"Mahatma Basmati Rice, Long Grain Rice, Uncooked Rice, 32 oz (907g)",0001740010667
Quaker® Quick Pearled Barley,0003000007210
Sara Lee Delightful Multi-Grain Bread,0007294571588
4Sisters® Extra Long Grain Organic White Rice,0081620202205
Simple Truth Organic® Long Grain White Rice,0001111016460
Club® Crackers Multi Grain,0003010010068
Kroger® Country Club Multi-Grain Crackers,0001111084422
Kellogg's® Special K Protein Original Multi-Grain Touch of Cinnamon 12.9oz Cereal,0004119210219
Earth's Best Organic Whole Grain Multi-Grain Baby Cereal,0002392390002
Kroger® Quinoa,0001111086099
"Dave's Killer Bread 21 Whole Grains and Seeds, Organic, 27 oz Loaf",0001376402705
Simple Truth Organic® Basmati Rice,0001111015373
Choice Beef Chuck Roast,0024184200000
Kroger® Beef Shaved Steak,0001111034567
Kroger® Fresh Naturalˆ Pork Loin Chops Boneless,0001111064148
Kroger® Natural Pork Baby Back Ribs,0020324300000
Private Selection Steakhouse Steak Tips,0001111069107
Heritage Farm® Boneless Skinless Chicken Tenderloins,0025313400000
Smart Way™ Fresh Uncooked Thin Sliced Boneless Skinless Chicken Breasts,0001111018028
Kroger® 80/20 Ground Beef Tray 3 LB,0001111096970
Smithfield Roasted Garlic & Herb Pork Loin Filet,0007080074687
"Ground Beef and Pork Blend, 80% Lean/20% Fat",0002718256550
Kroger® 93/7 Ground Beef Tray 1 LB,0001111096920
Tyson® All Natural Fresh Boneless Skinless Chicken Breasts,0026082900000
Smart Way™ Fresh Uncooked Chicken Drumsticks,0001111063825
Kroger® Sliced Pepperoni,0001111099376
Beyond Meat Beyond Steak® Plant-Based Seared Tips,0081005729083
Kroger® Mild Ground Italian Sausage,0001111097272
Kroger® Fresh Natural Pork Loin Boneless,0020322450000
MorningStar Farms® Veggie Breakfast Classic Meat Free Bacon Strips,0002898997195
"Gardein Ultimate Plant-Based Chick'n Tenders, Frozen Meat Alternative",0084223400234
Eckrich Deli Bologna Fresh Sliced Deli Meat,0023761500000
"Gardein Ultimate Plant-Based Chick'n Nuggets, Frozen Meat Alternative",0084223400233
Eckrich Virginia Brand Ham Fresh Sliced Deli Meat,0023787800000
Kroger® CARBMaster® Original Lactose Free Skim Milk,0001111016338
Simple Truth Organic® 2% Reduced Fat Milk Half Gallon,0001111042852
Simple Truth Organic® Vitamin D Whole Milk Half Gallon,0001111042850
Kroger® 1% Lowfat Milk Gallon,0001111041660
Kroger® Skim Milk Gallon,0001111042315
Kroger® 1% Lowfat Milk Half Gallon,0001111041661
Kroger® 1% Lowfat Chocolate Milk Gallon,0001111050573
Kroger 1% Lowfat Chocolate Milk Half Gallon,0001111050574
Kroger® Skim Milk Half Gallon,0001111042305
Simple Truth Organic® Lactose Free 2% Reduced Fat Milk Half Gallon,0001111050438
Horizon Organic Lactose Free Milk - 2% Reduced Fat Milk,0074236526402
Simple Truth Organic® Lactose Free Vitamin D Whole Milk Half Gallon,0001111050434
Horizon Organic Lactose Free Milk - Whole Milk,0074236500539
Simple Truth Organic® Skim Fat Free Milk Half Gallon,0001111042856
Horizon Organic Vitamin D 2 Percent Milk - Vitamin D Reduced Fat Milk,0074236526425
Simple Truth Organic® 2% Reduced Fat Milk with DHA Omega-3 Half Gallon,0001111042861
Maple Hill 100% Grassfed Organic 2% Reduced Fat Milk,0085508800568
Horizon Organic Vitamin D Nonfat Milk - Vitamin D Milk,0074236526405
Maple Hill 100% Grassfed Organic Whole Milk,0085508800546
Creamy Peanut Butter - Kroger - 16 Oz,0001111001618
Jif Creamy Peanut Butter,0005150025516
Jif Creamy Natural Peanut Butter,0005150025565
Smart Way™ Creamy Peanut Butter,0001111012319
Kroger® Peanut Butter Creamy BIG Deal!,0001111073932
Skippy® Creamy Peanut Butter,0003760011075
Kroger® Creamy Peanut Butter,0001111009853
Simple Truth Organic® No Stir Creamy Peanut Butter Spread,0001111079156
Kroger® Natural Peanut Butter Creamy,0001111001649
Crazy Richard's® Creamy Natural Peanut Butter,0007482261063
Kroger® Honey Peanut Butter Spread Creamy,0001111001652
Kroger® Crunchy Peanut Butter,0001111001619
Skippy® Natural Creamy Peanut Butter Spread,0003760010674
Smucker’s Creamy Natural Peanut Butter,0005150001700
Skippy® Natural Peanut Butter Spread Creamy,0003760010506
Jif Extra Crunchy Peanut Butter,0005150025537
Jif Creamy Reduced Fat Peanut Butter,0005150025518
Sweet Potato,0000000004816
Cucumber,0000000004062
Zucchini,0000000004067
Kroger® Tri-Color Bell Peppers,0001111091116
Broccoli Crown,0000000003082
Green Asparagus,0000000004080
Kroger® Vegetable Medley,0001111062682
Kroger® Sweet Corn on the Cob,0001111018183
Fresh Large Green Bell Pepper,0000000004065
"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables",0001450002128
Kroger® Green Beans,0001111022236
Fresh Jalapeno Peppers,0000000004693
Kroger® Cut and Peeled Baby Carrots,0001111091620
Kroger® Mini Sweet Peppers,0001111018181
Fresh Orange Bell Pepper,0000000003121
Veg-All Original Mixed Vegetables,0003470000049
Kroger® Brussels Sprouts Halves,0001111061236
"Birds Eye Teriyaki Stir Fry Veggies and Sauce, Frozen Vegetables",0001450003158
Private Selection® Petite Gold Gourmet Potatoes,0001111079542
Cauliflower,0000000004079
Carrots,0000000004562
"Birds Eye Steamfresh Sweet Peas, Frozen Vegetables",0001450002100
Kroger® Whole Baby Bella Mushrooms,0001111091013
Kroger® Grade A Extra Large White Eggs,0001111060904
Simple Truth® Cage Free Grade A Large Brown Eggs,0001111015097
Eggland's Best Classic Large White Eggs,0071514150349
Kroger® Medium Grade A White Eggs,0001111060980
Simple Truth Organic™ Cage Free Grade A Large Brown Eggs,0001111006479
Simple Truth Organic Brown Cage Free Large Eggs,0001111079772
Happy Egg Co.® Free Range Large Brown Eggs,0088742200000
Nellie's Free Range Eggs Large,0081565200418
Kroger® Grade A Jumbo White Eggs,0001111060905
Pete & Gerry's Organic Free Range Large Eggs,0081565200214
Eggland's Best Cage Free Large Brown Eggs,0071514151464
Simple Truth Organic® Pasture Raised Large Brown Eggs,0001111016520
Happy Egg Co.® Organic Free Range Large Brown Eggs,0088742200009
Vital Farms® Pasture-Raised Large Brown Eggs,0086174500001
Simple Truth™ Natural Cage Free Grade A Medium Brown Eggs,0001111087023
Vital Farms® Pasture-Raised Eggs Large,0086231500024
Tyson Frozen Chicken Patties,0002370006023
Tyson Frozen Dino Nuggets,0002370001452
"Banquet Chicken Pot Pie, Frozen Meal",0003100010101
Kroger® Frozen Fully Cooked Crispy Chicken Nuggets,0001111015932
Tyson Frozen Popcorn Chicken,0002370006012
Tyson Frozen Chicken Nuggets,0002370006026
Odom's Tennessee Pride Sausage Buttermilk Biscuits,0007229000227
Kroger® Seasoned Frozen Waffle Fries,0001111005604
Kroger® Homestyle Meatballs,0001111009965
