Item,Family,Default,Unit,Walmart,Aldi,Kroger,Price Chopper
"Apples, Gala",Fruit,yes,oz,3.24@48,,,
"Bacon, Thick",Meat,yes,oz,4.18@16,,,
Bagels,Bakery,yes,count,3.97@6,,,
Bananas,Fruit,yes,count,0.20@1,0.16@1,,
Bell Peppers,Vegetables,yes,count,2.97@3,2.49@3,,
"Bread, Honey Wheat",Bakery,yes,oz,1.96@20,1.85@20,,
"Butter, Sticks",Dairy,yes,oz,3.06@16,2.89@16,,
Canned Green Beans,Vegetables,yes,oz,0.82@14.5,0.81@14.5,,
Canned Tomatoes,Vegetables,yes,oz,0.96@14.5,0.89@14.5,,
Canned Carrots,Vegetables,yes,oz,0.96@14.5,,,
Cinnamon Toast Crunch,Cereal,yes,oz,4.97@18,3.99@18,3.69@12,
Chicken Breast,Meat,yes,oz,2.23@16,2.19@16,4.99@16,
Coffee,Beverages,yes,oz,14.96@25.9,11.45@25.9,,
Deli Ham,Meat,yes,oz,5.94@16,4.15@16,6.99@16,
Eggs,Eggs,yes,count,1.67@12,1.18@12,1.19@12,
Flour,Baking,yes,oz,2.38@80,1.95@80,,
Frozen Pizza,Frozen,yes,oz,3.86@12,2.99@12,,
Frozen Vegetables,Vegetables,yes,oz,0.98@16,0.98@16,1.19@10,
Ground Beef 93/7,Meat,yes,oz,7.97@16,7.29@16,9.49@16,
Ice Cream Vanilla,Frozen,yes,fl_oz,7.27@128,6.39@128,,
Lettuce,Vegetables,yes,count,1.97@1,1.89@1,,
"Milk, Whole (Gallon)",Dairy,yes,fl_oz,4.02@128,2.78@128,3.99@128,
"Milk, Whole (Half Gallon)",Dairy,no,fl_oz,2.31@64,1.6@64,2.79@64,
Onions,Vegetables,yes,oz,3.28@48,2.39@48,,
Orange Juice,Beverages,yes,fl_oz,3.96@52,3.75@52,,
"Pasta, Spaghetti",Grains,yes,oz,1.94@32,1.89@32,,
Peanut Butter,Peanut Butter,yes,oz,2.98@18,1.59@18,,
Potatoes,Vegetables,yes,oz,2.98@80,3.19@80,,
"Rice, Jasmine",Grains,yes,oz,7.23@80,6.29@80,,
Shredded Cheese,Dairy,yes,oz,3.48@16,3.29@16,,
Sugar,Baking,yes,oz,2.97@64,2.79@64,2.79@64,
"Tomatoes, Beefsteak",Vegetables,yes,oz,1.97@16,2.99@16,,
Tortillas,Bakery,yes,count,1.98@10,1.95@10,,
"Yogurt, Greek",Dairy,yes,oz,3.28@32,2.79@32,,
Baking Powder,Baking,yes,oz,,,2.19@8.1,
Baking Soda,Baking,yes,oz,,,2.39@32,
Brown Sugar,Baking,yes,oz,,,2.09@32,
Vegetable Oil,Baking,yes,fl_oz,,,3.79@48,
Soda,Beverages,yes,fl_oz,,,11.99@144,
Honey Nut Cheerios,Cereal,yes,oz,,,3.79@10.8,
Fruity/Frosted Pebbles,Cereal,yes,oz,,,3.49@11,
Lucky Charms,Cereal,yes,oz,,,3.69@10.5,
"Milk, 2% (Gallon)",Dairy,yes,fl_oz,,,3.99@128,
"Milk, 2% (Half Gallon)",Dairy,no,fl_oz,,,2.79@64,
Sour Cream,Dairy,yes,oz,,,1.89@16,
Cottage Cheese,Dairy,yes,oz,,,2.29@16,
Almond Milk,Dairy,no,fl_oz,,,3.79@64,
Strawberries,Fruit,yes,oz,,,2.79@16,
Grapes,Fruit,yes,oz,,,2.19@16,
Blueberries,Fruit,yes,oz,,,5.49@18,
Avocado,Vegetables,yes,count,,,0.89@1,
"Carrots, Fresh",Vegetables,yes,oz,,,1.69@16,
Broccoli,Vegetables,yes,oz,,,2.19@16,
Zucchini,Vegetables,yes,oz,,,1.59@16,
Cucumber,Vegetables,yes,count,,,0.79@1,
Sweet Potato,Vegetables,yes,oz,,,1.49@16,
Cauliflower,Vegetables,yes,count,,,3.49@1,
Mushrooms,Vegetables,yes,oz,,,2.69@8,
Corn on the Cob,Vegetables,yes,count,,,3.99@4,
"Rice, Brown",Grains,yes,oz,,,0.99@16,
Crackers,Grains,yes,oz,,,3.39@12.7,
Chuck Roast,Meat,yes,oz,,,9.99@16,
Ground Beef 80/20,Meat,yes,oz,,,20.49@48,
Pork Chops,Meat,yes,count,,,5@1,
Pork Loin,Meat,yes,oz,,,2.99@16,
Chicken Tenderloins,Meat,yes,oz,,,3.99@16,
Italian Sausage,Meat,yes,oz,,,3.99@16,
Pepperoni,Meat,yes,oz,,,1.99@3,
Pork Ribs,Meat,yes,oz,,,4.49@16,
"Chicken Nuggets, Frozen",Frozen,yes,oz,,,7.19@29,
"Waffle Fries, Frozen",Frozen,yes,oz,,,3.49@24,
